driverId,predicted_position,start_position,position,grid
826,1,18,11,11
826,1,18,11,11
826,1,18,10,11
826,1,18,10,11
826,1,18,10,11
826,1,18,10,11
826,1,18,10,11
826,1,18,9,11
826,1,18,9,11
826,1,18,9,11
826,1,18,8,11
826,1,18,7,11
826,1,18,6,11
826,1,18,5,11
826,1,18,5,11
826,1,18,4,11
826,1,18,4,11
826,1,18,4,11
826,1,18,4,11
826,1,18,4,11
826,1,18,3,11
826,1,18,4,11
826,1,18,4,11
826,1,18,3,11
826,1,18,4,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
826,1,18,8,11
20,2,18,13,14
20,2,18,13,14
20,2,18,13,14
20,2,18,13,14
20,2,18,13,14
20,2,18,13,14
20,2,18,13,14
20,2,18,13,14
20,2,18,13,14
20,2,18,13,14
20,2,18,11,14
20,2,18,9,14
20,2,18,9,14
20,2,18,8,14
20,2,18,7,14
20,2,18,7,14
20,2,18,7,14
20,2,18,7,14
20,2,18,7,14
20,2,18,7,14
20,2,18,7,14
20,2,18,8,14
20,2,18,9,14
20,2,18,9,14
20,2,18,16,14
20,2,18,16,14
20,2,18,16,14
20,2,18,16,14
20,2,18,15,14
20,2,18,15,14
20,2,18,15,14
20,2,18,15,14
20,2,18,15,14
20,2,18,14,14
20,2,18,14,14
20,2,18,14,14
20,2,18,14,14
20,2,18,14,14
20,2,18,13,14
20,2,18,13,14
20,2,18,13,14
20,2,18,13,14
20,2,18,13,14
20,2,18,13,14
8,3,18,15,19
8,3,18,15,19
8,3,18,15,19
8,3,18,14,19
8,3,18,14,19
8,3,18,14,19
8,3,18,14,19
8,3,18,14,19
8,3,18,14,19
8,3,18,14,19
8,3,18,13,19
8,3,18,12,19
8,3,18,11,19
8,3,18,10,19
8,3,18,10,19
