driverId,predicted_position,start_position,position,grid
846,1,20,15,14
846,1,20,15,14
846,1,20,14,14
846,1,20,13,14
846,1,20,10,14
846,1,20,14,14
846,1,20,14,14
846,1,20,13,14
846,1,20,12,14
846,1,20,12,14
846,1,20,12,14
846,1,20,12,14
846,1,20,12,14
846,1,20,12,14
846,1,20,12,14
846,1,20,12,14
846,1,20,11,14
846,1,20,11,14
846,1,20,11,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,10,14
846,1,20,9,14
846,1,20,9,14
846,1,20,9,14
846,1,20,9,14
846,1,20,9,14
846,1,20,9,14
846,1,20,9,14
846,1,20,9,14
846,1,20,8,14
846,1,20,8,14
846,1,20,8,14
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,3,1
840,2,20,2,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,1,1
840,2,20,2,1
840,2,20,4,1
840,2,20,6,1
840,2,20,7,1
840,2,20,8,1
840,2,20,8,1
840,2,20,8,1
840,2,20,8,1
840,2,20,8,1
840,2,20,8,1
840,2,20,8,1
840,2,20,8,1
840,2,20,8,1
840,2,20,8,1
840,2,20,8,1
840,2,20,8,1
840,2,20,8,1
840,2,20,8,1
840,2,20,8,1
840,2,20,9,1
840,2,20,9,1
840,2,20,9,1
