rmse,mae,positions_correct,position_changes_accuracy,num_drivers,race_id
6.828239982986891,5.477247502774695,0.06659267480577137,0.29606486998260334,901,1123
10.18340107520879,9.063930544593529,0.01578531965272297,0.22314462158807466,1267,1105
9.16329970931578,7.623520126282557,0.037095501183898975,-0.3843374754186867,1267,1130
7.215076218638604,5.717622080679406,0.0881104033970276,0.3750854628459127,942,1044
9.969035130944533,8.712382445141065,0.02664576802507837,-0.21661868423253916,1276,1016
6.723181254492401,5.565597667638484,0.03498542274052478,0.22622032593739586,686,1034
9.322689695203284,8.33716915995397,0.02531645569620253,-0.004194593268718774,869,1061
8.870878983884925,7.460048426150121,0.05690072639225181,0.36025477353942986,826,1108
7.965083072410367,6.712172923777019,0.06825938566552901,0.4298792606844118,879,1020
4.389661637028411,3.7423043095866313,0.024626209322779244,-0.006099512987322646,1137,1000
7.317147928934777,6.1642917015926235,0.030176026823134954,0.08838412306489149,1193,1109
9.346542789844047,7.715724244771495,0.021688613477924088,-0.20695630793469835,1291,1133
5.972295095086265,4.893267651888341,0.07717569786535304,-0.26145425660071864,609,1001
5.649692304563744,4.651670951156812,0.038560411311053984,0.1434875735995936,778,1125
6.998417369929292,5.45607333842628,0.10618792971734148,0.06993224121637119,1309,1008
7.957955226275102,6.937747035573122,0.023715415019762844,-0.012867821415269985,1012,1095
8.135554411976523,6.691994572591588,0.06512890094979647,-0.0801511839767036,737,1114
8.59023368106715,7.591397849462366,0.01971326164874552,0.13242194598882356,1116,1096
8.157812774015984,6.664246823956443,0.05353901996370236,0.36482049866196187,1102,1007
5.7953228057941395,4.458029197080292,0.12135036496350365,0.09497096907544665,1096,1070
8.337069190613427,7.190756302521009,0.03361344537815126,0.12934788947234646,1190,1088
7.909290236039811,6.9336492890995265,0.022511848341232227,-0.00958650505964497,844,1031
8.263991906564263,7.253218884120171,0.02145922746781116,0.07767676017397296,1165,1058
8.47688326317815,7.49002849002849,0.008547008547008548,-0.30631751053983275,702,1025
7.305830225203916,5.742857142857143,0.09192546583850932,0.06762297726562842,805,1040
9.895550081825235,8.693473193473194,0.024475524475524476,0.29818879171712215,858,1066
9.796183817758033,8.767701863354038,0.034782608695652174,-0.28196265920778857,805,1137
8.936889434625838,7.430379746835443,0.009041591320072333,0.19101308801423078,553,1072
9.357031510063356,7.6018202502844145,0.03185437997724687,-0.18271146006419217,879,1078
