driverId,predicted_position,start_position,position,grid
847,1,19,7,8
847,1,19,8,8
847,1,19,8,8
847,1,19,8,8
847,1,19,8,8
847,1,19,8,8
847,1,19,8,8
847,1,19,7,8
847,1,19,7,8
847,1,19,6,8
847,1,19,5,8
847,1,19,4,8
847,1,19,2,8
847,1,19,2,8
847,1,19,2,8
847,1,19,2,8
847,1,19,2,8
847,1,19,2,8
847,1,19,4,8
847,1,19,7,8
847,1,19,7,8
847,1,19,7,8
847,1,19,7,8
847,1,19,7,8
847,1,19,7,8
847,1,19,7,8
847,1,19,7,8
847,1,19,7,8
847,1,19,5,8
847,1,19,4,8
847,1,19,3,8
847,1,19,4,8
847,1,19,3,8
847,1,19,3,8
847,1,19,3,8
847,1,19,4,8
847,1,19,4,8
847,1,19,4,8
847,1,19,5,8
847,1,19,5,8
847,1,19,5,8
847,1,19,5,8
847,1,19,6,8
847,1,19,7,8
847,1,19,7,8
847,1,19,7,8
847,1,19,7,8
852,2,19,10,9
852,2,19,10,9
852,2,19,10,9
852,2,19,10,9
852,2,19,12,9
852,2,19,15,9
852,2,19,13,9
852,2,19,11,9
852,2,19,11,9
852,2,19,11,9
852,2,19,11,9
852,2,19,10,9
852,2,19,10,9
852,2,19,10,9
852,2,19,10,9
852,2,19,10,9
852,2,19,11,9
852,2,19,11,9
852,2,19,10,9
852,2,19,10,9
852,2,19,10,9
852,2,19,10,9
852,2,19,10,9
852,2,19,13,9
852,2,19,13,9
852,2,19,13,9
852,2,19,13,9
852,2,19,13,9
852,2,19,13,9
852,2,19,12,9
852,2,19,12,9
852,2,19,12,9
852,2,19,12,9
852,2,19,12,9
852,2,19,12,9
852,2,19,12,9
852,2,19,12,9
852,2,19,12,9
852,2,19,12,9
852,2,19,12,9
852,2,19,12,9
852,2,19,12,9
852,2,19,12,9
852,2,19,12,9
842,3,19,13,12
842,3,19,13,12
842,3,19,13,12
842,3,19,12,12
842,3,19,11,12
842,3,19,11,12
842,3,19,10,12
842,3,19,9,12
842,3,19,9,12
842,3,19,8,12
842,3,19,8,12
842,3,19,7,12
842,3,19,8,12
842,3,19,14,12
842,3,19,12,12
842,3,19,12,12
842,3,19,11,12
842,3,19,10,12
842,3,19,10,12
842,3,19,9,12
842,3,19,9,12
842,3,19,8,12
842,3,19,8,12
842,3,19,8,12
842,3,19,8,12
842,3,19,8,12
842,3,19,8,12
842,3,19,8,12
842,3,19,10,12
842,3,19,10,12
842,3,19,10,12
842,3,19,10,12
842,3,19,10,12
842,3,19,10,12
842,3,19,10,12
842,3,19,10,12
842,3,19,10,12
842,3,19,10,12
842,3,19,9,12
842,3,19,9,12
842,3,19,9,12
842,3,19,9,12
842,3,19,9,12
842,3,19,9,12
842,3,19,9,12
842,3,19,10,12
848,4,19,18,13
848,4,19,18,13
848,4,19,18,13
848,4,19,18,13
848,4,19,17,13
848,4,19,15,13
848,4,19,14,13
848,4,19,11,13
848,4,19,17,13
848,4,19,17,13
848,4,19,17,13
848,4,19,17,13
848,4,19,17,13
848,4,19,17,13
848,4,19,16,13
848,4,19,16,13
848,4,19,16,13
848,4,19,16,13
848,4,19,16,13
839,5,19,15,14
839,5,19,15,14
839,5,19,15,14
839,5,19,15,14
