driverId,predicted_position,start_position,position,grid
815,1,11,11,11
815,1,11,11,11
815,1,11,11,11
815,1,11,11,11
815,1,11,11,11
815,1,11,11,11
815,1,11,11,11
815,1,11,11,11
815,1,11,11,11
815,1,11,11,11
815,1,11,11,11
815,1,11,10,11
815,1,11,10,11
815,1,11,14,11
815,1,11,14,11
815,1,11,12,11
815,1,11,11,11
815,1,11,11,11
815,1,11,10,11
815,1,11,10,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,10,11
815,1,11,10,11
815,1,11,9,11
815,1,11,10,11
815,1,11,14,11
815,1,11,13,11
815,1,11,12,11
815,1,11,11,11
815,1,11,11,11
815,1,11,9,11
815,1,11,8,11
815,1,11,8,11
815,1,11,8,11
815,1,11,8,11
815,1,11,8,11
815,1,11,8,11
815,1,11,8,11
815,1,11,8,11
815,1,11,7,11
815,1,11,7,11
815,1,11,8,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,9,11
815,1,11,8,11
832,2,6,6,6
832,2,6,6,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,6,6
832,2,6,6,6
832,2,6,6,6
832,2,6,7,6
832,2,6,7,6
832,2,6,7,6
832,2,6,6,6
832,2,6,6,6
832,2,6,5,6
832,2,6,4,6
832,2,6,4,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,6,6
832,2,6,7,6
832,2,6,7,6
832,2,6,7,6
832,2,6,7,6
832,2,6,7,6
832,2,6,7,6
832,2,6,6,6
832,2,6,6,6
832,2,6,6,6
832,2,6,6,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,5,6
832,2,6,6,6
832,2,6,6,6
832,2,6,6,6
832,2,6,6,6
832,2,6,6,6
832,2,6,6,6
832,2,6,6,6
832,2,6,6,6
832,2,6,6,6
832,2,6,6,6
832,2,6,6,6
832,2,6,6,6
844,3,5,5,5
844,3,5,5,5
844,3,5,6,5
844,3,5,6,5
844,3,5,6,5
844,3,5,6,5
844,3,5,6,5
844,3,5,6,5
844,3,5,6,5
