raceId,TrackTemp_mean,TrackTemp_min,TrackTemp_max,AirTemp_mean,AirTemp_min,AirTemp_max,Humidity_mean,Humidity_min,Humidity_max
989,20.65714285714286,20.65714285714286,20.65714285714286,10.657142857142858,10.657142857142858,10.657142857142858,68.85714285714286,68.85714285714286,68.85714285714286
990,36.31428571428572,36.31428571428572,36.31428571428572,26.314285714285713,26.314285714285713,26.314285714285713,63.0,63.0,63.0
991,22.06666666666666,22.066666666666663,22.066666666666663,12.066666666666665,12.066666666666665,12.066666666666665,64.66666666666667,64.66666666666667,64.66666666666667
992,25.0,25.0,25.0,20.0,20.0,20.0,50.0,50.0,50.0
993,25.0,25.0,25.0,15.0,15.0,15.0,61.857142857142854,61.857142857142854,61.857142857142854
994,33.766666666666666,33.766666666666666,33.766666666666666,23.766666666666666,23.766666666666666,23.766666666666666,67.33333333333333,67.33333333333333,67.33333333333333
995,26.157142857142855,26.157142857142855,26.157142857142855,16.157142857142855,16.157142857142855,16.157142857142855,38.285714285714285,38.285714285714285,38.285714285714285
996,25.0,25.0,25.0,20.0,20.0,20.0,50.0,50.0,50.0
997,30.885714285714286,30.885714285714283,30.885714285714283,20.885714285714283,20.885714285714283,20.885714285714283,46.285714285714285,46.285714285714285,46.285714285714285
998,38.0,38.0,38.0,28.0,28.0,28.0,41.5,41.5,41.5
999,32.300000000000004,32.300000000000004,32.300000000000004,22.300000000000004,22.300000000000004,22.300000000000004,75.28571428571429,75.28571428571429,75.28571428571429
1000,41.42857142857143,41.42857142857143,41.42857142857143,31.428571428571423,31.428571428571427,31.428571428571427,42.42857142857143,42.42857142857143,42.42857142857143
1001,25.45714285714286,25.45714285714286,25.45714285714286,15.457142857142859,15.457142857142859,15.457142857142859,44.285714285714285,44.285714285714285,44.285714285714285
1002,31.114285714285717,31.114285714285717,31.114285714285717,21.114285714285717,21.114285714285717,21.114285714285717,81.28571428571429,81.28571428571429,81.28571428571429
1003,38.57142857142857,38.57142857142857,38.57142857142857,28.571428571428573,28.571428571428573,28.571428571428573,70.57142857142857,70.57142857142857,70.57142857142857
1004,31.157142857142862,31.157142857142862,31.157142857142862,21.157142857142862,21.157142857142862,21.157142857142862,78.42857142857143,78.42857142857143,78.42857142857143
1005,25.0,25.0,25.0,20.0,20.0,20.0,50.0,50.0,50.0
1006,26.985714285714288,26.985714285714288,26.985714285714288,16.985714285714288,16.985714285714288,16.985714285714288,58.142857142857146,58.142857142857146,58.142857142857146
1007,25.285714285714285,25.285714285714285,25.285714285714285,15.285714285714286,15.285714285714286,15.285714285714286,68.57142857142857,68.57142857142857,68.57142857142857
1008,35.042857142857144,35.042857142857144,35.042857142857144,25.042857142857144,25.042857142857144,25.042857142857144,64.85714285714286,64.85714285714286,64.85714285714286
1009,37.900000000000006,37.900000000000006,37.900000000000006,27.900000000000006,27.900000000000002,27.900000000000002,58.57142857142857,58.57142857142857,58.57142857142857
1010,26.8,26.8,26.8,16.8,16.8,16.8,98.0,98.0,98.0
1011,34.82857142857143,34.82857142857143,34.82857142857143,24.82857142857143,24.82857142857143,24.82857142857143,64.0,64.0,64.0
1012,21.971428571428575,21.971428571428575,21.971428571428575,11.971428571428575,11.971428571428573,11.971428571428573,78.28571428571429,78.28571428571429,78.28571428571429
1013,25.0,25.0,25.0,20.0,20.0,20.0,50.0,50.0,50.0
1014,30.0,30.0,30.0,20.0,20.0,20.0,56.42857142857143,56.42857142857143,56.42857142857143
1015,27.75714285714286,27.75714285714286,27.75714285714286,17.75714285714286,17.75714285714286,17.75714285714286,69.85714285714286,69.85714285714286,69.85714285714286
1016,34.07142857142858,34.07142857142858,34.07142857142858,24.071428571428577,24.071428571428577,24.071428571428577,29.571428571428573,29.571428571428573,29.571428571428573
1017,25.0,25.0,25.0,20.0,20.0,20.0,50.0,50.0,50.0
1018,42.42857142857143,42.42857142857143,42.42857142857143,32.42857142857143,32.42857142857143,32.42857142857143,21.571428571428573,21.571428571428573,21.571428571428573
1019,29.2,29.2,29.2,19.2,19.2,19.2,67.4,67.4,67.4
1020,30.87142857142857,30.87142857142857,30.87142857142857,20.87142857142857,20.87142857142857,20.87142857142857,86.85714285714286,86.85714285714286,86.85714285714286
1021,34.14285714285714,34.14285714285714,34.14285714285714,24.142857142857142,24.142857142857142,24.142857142857142,43.57142857142857,43.57142857142857,43.57142857142857
1022,25.714285714285715,25.714285714285715,25.714285714285715,15.714285714285714,15.714285714285714,15.714285714285714,62.714285714285715,62.714285714285715,62.714285714285715
1023,25.0,25.0,25.0,20.0,20.0,20.0,50.0,50.0,50.0
1024,39.14285714285714,39.14285714285714,39.14285714285714,29.142857142857142,29.142857142857142,29.142857142857142,71.71428571428571,71.71428571428571,71.71428571428571
1025,29.242857142857144,29.242857142857144,29.242857142857144,19.242857142857144,19.242857142857144,19.242857142857144,79.14285714285714,79.14285714285714,79.14285714285714
1026,25.0,25.0,25.0,20.0,20.0,20.0,50.0,50.0,50.0
1027,28.571428571428573,28.571428571428573,28.571428571428573,18.571428571428573,18.571428571428573,18.571428571428573,65.71428571428571,65.71428571428571,65.71428571428571
1028,22.757142857142853,22.757142857142853,22.757142857142853,12.757142857142854,12.757142857142854,12.757142857142854,56.714285714285715,56.714285714285715,56.714285714285715
1029,31.371428571428574,31.371428571428574,31.371428571428574,21.371428571428574,21.371428571428574,21.371428571428574,59.71428571428572,59.714285714285715,59.714285714285715
1030,35.25714285714285,35.25714285714285,35.25714285714285,25.257142857142856,25.257142857142856,25.257142857142856,65.71428571428571,65.71428571428571,65.71428571428571
