driverId,raceId,driver_overall_skill,driver_circuit_skill,driver_consistency,driver_reliability,driver_aggression,driver_risk_taking,constructor_performance,fp1_median_time,fp2_median_time,fp3_median_time,quali_time,constructorId,code
1,989,0.760287037037037,0.760287037037037,0.5,0.56,0.26,0.305658251606804,382.0,90535.0,89019.0,101462.0,107480.0,131,HAM
1,990,0.7702222222222221,0.7702222222222221,0.8845034657510609,0.56,0.26,0.30594346050779375,382.0,97259.0,96369.0,93572.0,98333.5,131,HAM
1,991,0.7499999999999999,0.7499999999999999,0.8951421944623756,0.56,0.29000000000000004,0.3241186557949107,382.0,99668.5,99384.0,109173.0,102002.0,131,HAM
1,992,0.7303518518518517,0.7303518518518517,0.8974635769232188,0.56,0.29000000000000004,0.3181887559961999,382.0,114004.5,110961.0,109391.0,112116.0,131,HAM
1,993,0.742574074074074,0.742574074074074,0.7441163358716807,0.56,0.29000000000000004,0.32315110244126644,382.0,87601.0,83188.0,94654.0,87907.0,131,HAM
1,994,0.7591018518518519,0.7591018518518519,0.7713559776728574,0.56,0.29000000000000004,0.3265142343787037,382.0,80512.5,80878.0,88319.0,84700.0,131,HAM
1,995,0.7482129629629628,0.7482129629629628,0.7910360648947113,0.56,0.29000000000000004,0.32036038518305343,382.0,77671.0,77360.0,79697.5,83012.0,131,HAM
1,996,0.7250092592592594,0.7250092592592594,0.8056683885203589,0.56,0.29000000000000004,0.3114487799157073,382.0,106860.0,97984.0,119401.5,113407.0,131,HAM
1,997,0.7633148148148148,0.7633148148148148,0.8173483895197621,0.6000000000000001,0.29000000000000004,0.33676150403950933,382.0,72344.5,72790.5,77777.0,73397.0,131,HAM
1,998,0.7181203703703705,0.7181203703703705,0.8280673317574535,0.5800000000000001,0.22999999999999998,0.2915078483608903,382.0,110585.5,93578.0,122447.5,99426.0,131,HAM
1,999,0.7239629629629629,0.7239629629629629,0.8313657525183384,0.5800000000000001,0.22999999999999998,0.2935430829871755,382.0,79044.0,79118.5,103664.0,92984.5,131,HAM
1,1000,0.7262222222222221,0.7262222222222221,0.8248726491861367,0.5800000000000001,0.35000000000000003,0.35956030765590596,382.0,90665.0,84937.0,113475.5,97564.0,131,HAM
1,1001,0.7509999999999999,0.7509999999999999,0.8256092339571403,0.5800000000000001,0.32,0.33253409839362846,382.0,111308.0,109508.0,117985.5,120616.0,131,HAM
1,1002,0.7624814814814814,0.7624814814814814,0.8274304692454745,0.5800000000000001,0.32,0.32985846347338,382.0,98973.5,87423.5,99305.0,88506.5,131,HAM
1,1003,0.770324074074074,0.770324074074074,0.8926083574623475,0.5800000000000001,0.35,0.3525570431327751,382.0,106853.5,106140.0,112388.0,107328.0,131,HAM
1,1004,0.7800462962962964,0.7800462962962964,0.8919172330025795,0.5800000000000001,0.35,0.3525570431327751,382.0,103479.5,99978.5,93919.0,94752.5,131,HAM
1,1005,0.7980833333333333,0.7980833333333333,0.8894543543877307,0.5800000000000001,0.38,0.3717550375147986,382.0,94861.5,94430.0,118893.0,102680.0,131,HAM
1,1006,0.8221666666666665,0.8221666666666665,0.892448820553715,0.5800000000000001,0.38,0.36875337442191597,382.0,115302.0,120828.0,100533.5,107086.5,131,HAM
1,1007,0.8098333333333333,0.8098333333333333,0.8894444195305281,0.5800000000000001,0.38,0.37156653756973135,382.0,89031.0,86276.0,85014.0,86346.0,131,HAM
1,1008,0.8236111111111111,0.8236111111111111,0.8888716236885987,0.6000000000000001,0.38,0.3092213297882208,382.0,78331.0,73210.0,100235.0,88479.0,131,HAM
1,1009,0.8340277777777779,0.8340277777777779,0.8906610643268633,0.6000000000000001,0.38,0.3031515796864508,382.0,105383.0,104747.0,112075.5,106338.0,131,HAM
1,1010,0.8451018518518519,0.8451018518518519,0.8987362783734619,0.6000000000000001,0.18,0.23413480158286332,382.0,96446.5,93828.0,99836.0,100063.0,131,HAM
1,1011,0.836425925925926,0.836425925925926,0.8983784584729737,0.6000000000000001,0.18,0.22709405043671116,382.0,97523.0,96140.0,102646.0,108162.0,131,HAM
1,1012,0.8436666666666666,0.8436666666666666,0.8939353802026083,0.6000000000000001,0.21666666666666667,0.23955002147916526,382.0,100991.0,99611.0,107698.0,103303.5,131,HAM
1,1013,0.8471574074074073,0.8471574074074073,0.8879399129671416,0.6000000000000001,0.20333333333333337,0.241983656254123,382.0,109568.0,108507.0,115949.0,111262.0,131,HAM
1,1014,0.8373796296296296,0.8373796296296296,0.8866375836700016,0.6000000000000001,0.20333333333333337,0.2385067988592422,382.0,82754.0,83264.0,93233.0,86857.0,131,HAM
1,1015,0.8410277777777776,0.8410277777777776,0.8878945306782484,0.6000000000000001,0.23333333333333334,0.25950679885924216,382.0,80607.0,81888.0,85475.5,80394.0,131,HAM
1,1016,0.8453240740740741,0.8453240740740741,0.8885505544941339,0.6000000000000001,0.23333333333333334,0.2595067988592421,382.0,79499.5,88699.0,87043.0,82157.0,131,HAM
1,1017,0.8568981481481481,0.8568981481481481,0.8901309103180737,0.6000000000000001,0.26,0.2966722488932562,382.0,104917.0,97005.0,109472.5,108001.0,131,HAM
1,1018,0.8727222222222222,0.8727222222222222,0.8895946976463189,0.6000000000000001,0.22999999999999998,0.222634806721737,382.0,76930.5,69484.0,88925.0,79215.0,131,HAM
1,1019,0.8396296296296295,0.8396296296296295,0.8926248629241945,0.6000000000000001,0.26,0.3303282380336957,382.0,103420.0,92407.0,97719.5,93157.0,131,HAM
