rmse,mae,positions_correct,position_changes_accuracy,num_drivers,race_id
5.109879832762654,4.2099031216361675,0.06458557588805167,0.3396513441592643,929,1123
5.029882691271754,3.8627450980392157,0.09943977591036414,0.1469417344416409,714,1045
3.5097111404154937,2.7686746987951807,0.10843373493975904,-0.36705270775708354,830,993
4.4781555970087075,3.492244897959184,0.13959183673469389,-0.1123861962933515,1225,1130
6.778706886421858,5.476878612716763,0.059248554913294796,0.388764252396621,692,1044
5.940790142060876,4.4803073967339095,0.053794428434197884,-0.060587796735043185,1041,1067
6.522070098824739,4.70650406504065,0.09268292682926829,0.1614977441566572,1230,1015
5.365686768594402,4.290150842945874,0.1002661934338953,0.13890215070198386,1127,1016
6.887690847083011,5.550802139037433,0.0374331550802139,-0.3407423356564243,561,998
5.76340124346117,4.66412213740458,0.042748091603053436,0.24015714738217406,655,1034
7.212388051758384,5.830655129789864,0.042027194066749075,0.12835727344165648,809,1108
4.861066127807455,3.875451263537906,0.10198555956678701,0.1511863293149999,1108,1000
5.386243069325623,4.070847851335656,0.16957026713124274,0.12886769291173442,861,1062
4.806623237055842,3.214162348877375,0.12607944732297063,-0.4264445004245908,579,1001
6.633350217912864,4.882510013351135,0.1041388518024032,0.4078430720018837,749,1089
4.676740406142539,3.5958677685950415,0.1115702479338843,0.38992227184757117,1210,1008
4.993328882953068,3.6777777777777776,0.16805555555555557,0.24523650257691726,720,1077
7.858446195901929,6.171741778319123,0.0682095006090134,0.26108999704014885,821,1073
6.776465630099619,5.7988774555659495,0.06454630495790459,0.11181355702102583,1069,1096
5.2018420108018955,4.005725190839694,0.15458015267175573,0.3106626920804027,1048,1007
4.414125004701408,3.2276350752878655,0.1744906997342781,0.0036451455099479773,1129,1117
7.2958577917996505,5.724550898203593,0.06087824351297405,-0.23897899642873965,1002,1059
7.197294430577288,5.950261780104712,0.06282722513089005,0.03148456242205377,764,1111
5.25838847468018,3.951948051948052,0.13506493506493505,0.04902667156050641,770,1093
5.208363387891428,4.072950819672132,0.1418032786885246,-0.19438162715206156,1220,1058
5.096932744725529,3.756501182033097,0.17178881008668243,-0.25877110492104377,1269,1131
4.801642093431099,3.7655259822560203,0.036755386565272496,0.05772208944067555,789,1040
5.075443789428018,3.9546191247974067,0.12641815235008103,0.5169486586063371,617,1057
6.107087571620615,4.667466986794718,0.1524609843937575,-0.38382307778371466,833,1115
