driverId,predicted_position,start_position,position,grid
830,8,1,2,1
830,8,1,2,1
830,8,1,2,1
830,8,1,2,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
830,8,1,1,1
846,20,2,1,2
846,20,2,1,2
846,20,2,1,2
846,20,2,1,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
846,20,2,2,2
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,3,3
857,9,3,5,3
857,9,3,4,3
857,9,3,4,3
857,9,3,4,3
857,9,3,4,3
857,9,3,4,3
857,9,3,4,3
857,9,3,4,3
857,9,3,4,3
857,9,3,4,3
857,9,3,4,3
857,9,3,4,3
857,9,3,4,3
857,9,3,4,3
857,9,3,4,3
844,1,4,4,4
844,1,4,4,4
844,1,4,4,4
844,1,4,4,4
844,1,4,4,4
844,1,4,4,4
844,1,4,4,4
844,1,4,4,4
844,1,4,4,4
844,1,4,4,4
844,1,4,4,4
844,1,4,4,4
844,1,4,4,4
844,1,4,4,4
844,1,4,4,4
844,1,4,4,4
844,1,4,4,4
844,1,4,12,4
844,1,4,12,4
844,1,4,12,4
844,1,4,12,4
844,1,4,12,4
844,1,4,11,4
844,1,4,11,4
844,1,4,10,4
844,1,4,10,4
844,1,4,8,4
844,1,4,8,4
844,1,4,9,4
844,1,4,10,4
844,1,4,10,4
844,1,4,10,4
844,1,4,10,4
844,1,4,10,4
844,1,4,9,4
844,1,4,9,4
844,1,4,9,4
844,1,4,9,4
844,1,4,9,4
844,1,4,9,4
844,1,4,9,4
844,1,4,9,4
844,1,4,9,4
1,12,20,8,7
1,12,20,8,7
1,12,20,8,7
1,12,20,8,7
1,12,20,8,7
1,12,20,7,7
1,12,20,7,7
1,12,20,7,7
1,12,20,7,7
1,12,20,7,7
1,12,20,7,7
1,12,20,7,7
1,12,20,7,7
1,12,20,7,7
1,12,20,7,7
1,12,20,7,7
1,12,20,7,7
1,12,20,6,7
1,12,20,6,7
1,12,20,6,7
1,12,20,6,7
1,12,20,6,7
1,12,20,6,7
1,12,20,6,7
1,12,20,6,7
1,12,20,5,7
1,12,20,5,7
1,12,20,4,7
1,12,20,3,7
1,12,20,3,7
1,12,20,3,7
1,12,20,3,7
1,12,20,3,7
1,12,20,3,7
1,12,20,3,7
1,12,20,3,7
1,12,20,3,7
1,12,20,3,7
1,12,20,3,7
1,12,20,3,7
1,12,20,3,7
1,12,20,3,7
1,12,20,3,7
1,12,20,3,7
1,12,20,3,7
4,10,20,7,9
4,10,20,7,9
4,10,20,7,9
4,10,20,7,9
4,10,20,7,9
4,10,20,8,9
4,10,20,8,9
4,10,20,8,9
4,10,20,8,9
4,10,20,8,9
4,10,20,8,9
4,10,20,8,9
4,10,20,8,9
4,10,20,8,9
4,10,20,8,9
4,10,20,8,9
4,10,20,8,9
4,10,20,7,9
4,10,20,7,9
4,10,20,7,9
4,10,20,7,9
4,10,20,7,9
4,10,20,7,9
4,10,20,7,9
4,10,20,7,9
4,10,20,6,9
4,10,20,6,9
4,10,20,5,9
4,10,20,4,9
4,10,20,4,9
4,10,20,4,9
4,10,20,6,9
4,10,20,6,9
4,10,20,6,9
4,10,20,6,9
4,10,20,6,9
4,10,20,6,9
4,10,20,6,9
4,10,20,7,9
4,10,20,7,9
4,10,20,7,9
4,10,20,7,9
4,10,20,7,9
4,10,20,7,9
4,10,20,7,9
807,7,20,14,11
807,7,20,14,11
807,7,20,14,11
807,7,20,15,11
807,7,20,16,11
807,7,20,20,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,19,11
807,7,20,16,11
807,7,20,16,11
807,7,20,15,11
807,7,20,15,11
807,7,20,15,11
807,7,20,15,11
807,7,20,14,11
807,7,20,14,11
807,7,20,14,11
807,7,20,14,11
807,7,20,14,11
807,7,20,14,11
807,7,20,14,11
807,7,20,14,11
815,3,20,15,15
815,3,20,15,15
815,3,20,15,15
815,3,20,14,15
815,3,20,13,15
815,3,20,13,15
815,3,20,13,15
815,3,20,13,15
815,3,20,12,15
815,3,20,12,15
815,3,20,11,15
815,3,20,11,15
815,3,20,11,15
815,3,20,11,15
815,3,20,10,15
815,3,20,10,15
815,3,20,10,15
815,3,20,9,15
815,3,20,9,15
815,3,20,9,15
815,3,20,9,15
815,3,20,9,15
815,3,20,9,15
815,3,20,9,15
815,3,20,9,15
815,3,20,8,15
815,3,20,12,15
815,3,20,12,15
815,3,20,8,15
815,3,20,8,15
815,3,20,8,15
815,3,20,8,15
815,3,20,7,15
815,3,20,7,15
815,3,20,7,15
815,3,20,6,15
815,3,20,6,15
815,3,20,6,15
815,3,20,6,15
815,3,20,6,15
815,3,20,6,15
815,3,20,6,15
822,5,20,19,20
822,5,20,19,20
822,5,20,19,20
822,5,20,19,20
822,5,20,19,20
822,5,20,19,20
822,5,20,18,20
822,5,20,18,20
822,5,20,17,20
822,5,20,17,20
822,5,20,17,20
822,5,20,17,20
822,5,20,17,20
822,5,20,16,20
822,5,20,16,20
