driverId,predicted_position,start_position,position,grid
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
830,14,1,1,1
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
1,15,2,2,2
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,7,8
4,12,18,12,8
4,12,18,12,8
4,12,18,12,8
4,12,18,12,8
4,12,18,12,8
4,12,18,12,8
4,12,18,12,8
4,12,18,12,8
4,12,18,10,8
4,12,18,9,8
4,12,18,9,8
4,12,18,9,8
4,12,18,9,8
4,12,18,8,8
4,12,18,8,8
4,12,18,8,8
4,12,18,8,8
4,12,18,8,8
4,12,18,8,8
4,12,18,8,8
4,12,18,8,8
4,12,18,8,8
4,12,18,8,8
4,12,18,8,8
4,12,18,8,8
4,12,18,8,8
4,12,18,9,8
4,12,18,9,8
4,12,18,9,8
4,12,18,9,8
4,12,18,9,8
4,12,18,9,8
4,12,18,9,8
4,12,18,9,8
4,12,18,9,8
4,12,18,9,8
4,12,18,9,8
4,12,18,9,8
4,12,18,9,8
4,12,18,9,8
4,12,18,9,8
4,12,18,9,8
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,10,18
8,4,18,9,18
8,4,18,8,18
8,4,18,7,18
8,4,18,7,18
8,4,18,7,18
8,4,18,7,18
8,4,18,7,18
8,4,18,7,18
8,4,18,7,18
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,14,18
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,13,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,12,18
8,4,18,11,18
8,4,18,11,18
8,4,18,11,18
8,4,18,11,18
20,13,18,12,14
20,13,18,12,14
20,13,18,12,14
20,13,18,12,14
20,13,18,12,14
20,13,18,11,14
