driverId,predicted_position,start_position,position,grid
1,10,14,14,1
1,10,14,14,1
1,10,14,14,1
1,10,14,14,1
1,10,14,13,1
1,10,14,13,1
1,10,14,13,1
1,10,14,13,1
1,10,14,13,1
1,10,14,13,1
1,10,14,11,1
1,10,14,11,1
1,10,14,11,1
1,10,14,10,1
1,10,14,9,1
1,10,14,9,1
1,10,14,8,1
1,10,14,8,1
1,10,14,8,1
1,10,14,7,1
1,10,14,7,1
1,10,14,7,1
1,10,14,7,1
1,10,14,6,1
1,10,14,5,1
1,10,14,5,1
1,10,14,5,1
1,10,14,5,1
1,10,14,5,1
1,10,14,5,1
1,10,14,5,1
1,10,14,5,1
1,10,14,4,1
1,10,14,4,1
1,10,14,4,1
1,10,14,4,1
1,10,14,4,1
1,10,14,4,1
1,10,14,4,1
1,10,14,5,1
1,10,14,5,1
1,10,14,5,1
1,10,14,5,1
1,10,14,5,1
1,10,14,5,1
1,10,14,5,1
1,10,14,5,1
1,10,14,5,1
1,10,14,5,1
1,10,14,5,1
1,10,14,5,1
1,10,14,4,1
1,10,14,4,1
1,10,14,3,1
1,10,14,3,1
1,10,14,3,1
1,10,14,3,1
4,7,14,6,9
4,7,14,6,9
4,7,14,6,9
4,7,14,6,9
4,7,14,6,9
4,7,14,6,9
4,7,14,6,9
4,7,14,6,9
4,7,14,6,9
4,7,14,6,9
4,7,14,6,9
4,7,14,6,9
4,7,14,6,9
4,7,14,6,9
4,7,14,6,9
4,7,14,6,9
4,7,14,6,9
4,7,14,6,9
4,7,14,5,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,3,9
4,7,14,3,9
4,7,14,3,9
4,7,14,3,9
4,7,14,2,9
4,7,14,1,9
4,7,14,5,9
4,7,14,5,9
4,7,14,5,9
4,7,14,5,9
4,7,14,5,9
4,7,14,5,9
4,7,14,5,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,4,9
4,7,14,5,9
4,7,14,5,9
4,7,14,5,9
4,7,14,5,9
4,7,14,5,9
4,7,14,5,9
8,2,14,8,13
8,2,14,8,13
8,2,14,8,13
8,2,14,8,13
8,2,14,8,13
8,2,14,8,13
8,2,14,8,13
8,2,14,8,13
8,2,14,8,13
8,2,14,8,13
8,2,14,14,13
8,2,14,13,13
8,2,14,13,13
8,2,14,13,13
8,2,14,13,13
8,2,14,13,13
8,2,14,13,13
8,2,14,13,13
8,2,14,13,13
8,2,14,13,13
8,2,14,13,13
8,2,14,13,13
8,2,14,13,13
8,2,14,13,13
8,2,14,13,13
8,2,14,13,13
8,2,14,13,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,11,13
8,2,14,11,13
8,2,14,11,13
8,2,14,11,13
8,2,14,11,13
8,2,14,11,13
8,2,14,11,13
8,2,14,11,13
8,2,14,11,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,12,13
8,2,14,11,13
8,2,14,11,13
8,2,14,11,13
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,3,10
20,8,14,3,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
20,8,14,2,10
817,14,14,9,11
817,14,14,9,11
817,14,14,9,11
817,14,14,9,11
817,14,14,9,11
817,14,14,9,11
817,14,14,9,11
817,14,14,9,11
817,14,14,9,11
817,14,14,9,11
817,14,14,8,11
817,14,14,8,11
817,14,14,8,11
817,14,14,8,11
817,14,14,8,11
817,14,14,11,11
817,14,14,11,11
817,14,14,11,11
817,14,14,11,11
817,14,14,11,11
817,14,14,11,11
817,14,14,11,11
817,14,14,11,11
817,14,14,11,11
817,14,14,11,11
817,14,14,11,11
817,14,14,11,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,10,11
817,14,14,11,11
