raceId,circuitId,fp1_median_time,fp2_median_time,fp3_median_time,quali_time,TrackTemp,AirTemp,Humidity
1076,1,85040.0,84516.0,105943.5,86090.0,31.9,26.1,44.0
1076,1,86811.0,95400.0,92231.0,96202.5,31.9,26.1,44.0
1076,1,87890.0,84923.5,100535.0,101338.5,31.9,26.1,44.0
1076,1,108170.0,84044.0,96684.5,94407.0,31.9,26.1,44.0
1076,1,90551.0,89312.0,97361.0,90594.5,31.9,26.1,44.0
1076,1,88010.0,86126.0,107776.5,81243.0,31.9,26.1,44.0
1076,1,86359.0,85333.5,111965.0,97247.0,31.9,26.1,44.0
1076,1,86307.0,88484.0,116170.5,90541.0,31.9,26.1,44.0
1076,1,89858.0,87965.0,102029.5,81152.0,31.9,26.1,44.0
1076,1,86918.5,85419.0,103745.0,89006.5,31.9,26.1,44.0
1076,1,87272.0,85960.0,107892.0,106833.0,31.9,26.1,44.0
1076,1,91244.0,97352.5,103944.0,89841.0,31.9,26.1,44.0
1076,1,87155.0,85970.0,103123.0,94849.0,31.9,26.1,44.0
1076,1,86553.0,85259.5,111144.0,105897.0,31.9,26.1,44.0
1076,1,97232.0,86672.0,109542.0,96062.0,31.9,26.1,44.0
1076,1,96235.0,86524.5,107657.0,92739.0,31.9,26.1,44.0
