driverId,raceId,driver_overall_skill,driver_circuit_skill,driver_consistency,driver_reliability,driver_aggression,driver_risk_taking,constructor_performance,fp1_median_time,fp2_median_time,fp3_median_time,quali_time,constructorId,code
1,989.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,92051.5,89019.0,101462.0,107480.0,131,HAM
1,990.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,97259.0,96369.0,93572.0,98333.5,131,HAM
1,991.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,99668.5,99384.0,109173.0,102002.0,131,HAM
1,992.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,114004.5,110961.0,109391.0,112116.0,131,HAM
1,993.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,87601.0,83188.0,94654.0,87907.0,131,HAM
1,994.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,80512.5,80878.0,88319.0,84700.0,131,HAM
1,995.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,77671.0,77360.0,79697.5,83012.0,131,HAM
1,996.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,106860.0,97984.0,119401.5,113407.0,131,HAM
1,997.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,72344.5,72790.5,77777.0,73397.0,131,HAM
1,998.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,110585.5,93578.0,122447.5,99426.0,131,HAM
1,999.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,79044.0,79118.5,103664.0,92984.5,131,HAM
1,1000.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,90665.0,84937.0,113475.5,97564.0,131,HAM
1,1001.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,111308.0,109508.0,117985.5,120616.0,131,HAM
1,1002.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,98973.5,87423.5,99305.0,88506.5,131,HAM
1,1003.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,106853.5,106140.0,112388.0,107328.0,131,HAM
1,1004.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,103479.5,99978.5,93919.0,94752.5,131,HAM
1,1005.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,94861.5,94430.0,118893.0,102680.0,131,HAM
1,1006.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,115302.0,120828.0,100533.5,107086.5,131,HAM
1,1007.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,89031.0,86276.0,85014.0,86346.0,131,HAM
1,1008.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,78331.0,73210.0,100235.0,88479.0,131,HAM
1,1009.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,105383.0,104747.0,112075.5,106338.0,131,HAM
1,1010.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,96446.5,93828.0,99836.0,100063.0,131,HAM
1,1011.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,97523.0,96140.0,102646.0,108162.0,131,HAM
1,1012.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,100991.0,99611.0,107698.0,103303.5,131,HAM
1,1013.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,92051.5,108507.0,115949.0,111262.0,131,HAM
1,1014.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,82754.0,83264.0,93233.0,86857.0,131,HAM
1,1015.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,80607.0,81888.0,85475.5,80394.0,131,HAM
1,1016.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,79499.5,88699.0,87043.0,82157.0,131,HAM
1,1017.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,104917.0,97005.0,109472.5,108001.0,131,HAM
1,1018.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,76930.5,69484.0,88925.0,79215.0,131,HAM
1,1019.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,103420.0,92407.0,97719.5,93157.0,131,HAM
1,1020.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,80832.0,80099.0,76368.0,90693.0,131,HAM
1,1021.0,0.22548475215223585,0.22548475215223585,0.0,0.9,0.23638578143940012,0.23638578143940012,382.0,82176.0,92815.0,83221.5,93124.0,131,HAM
