Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,EventName,SessionName,EventFormat,RoundNumber
0 days 00:44:40.281000,20.0,84.4,1009.9,False,25.3,264,1.1,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:45:40.294000,20.0,83.6,1009.9,False,25.0,0,0.9,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:46:40.309000,20.0,84.1,1009.9,False,25.0,0,0.5,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:47:40.321000,20.0,84.3,1009.9,False,25.2,306,0.8,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:48:40.406000,19.9,83.3,1009.9,False,25.1,327,1.1,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:49:40.652000,19.8,83.5,1009.8,False,25.2,322,0.8,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:50:40.632000,19.8,83.2,1009.7,False,25.2,263,1.1,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:51:40.979000,19.8,84.0,1009.8,False,25.1,0,1.1,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:52:40.550000,19.8,84.8,1009.8,False,25.3,334,0.0,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:53:40.398000,19.8,84.0,1009.8,False,25.5,0,1.1,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:54:40.412000,19.9,84.4,1009.7,False,25.6,328,0.5,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:55:40.424000,19.9,83.3,1009.8,False,25.7,295,1.0,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:56:40.440000,20.0,83.6,1009.8,False,25.8,335,1.2,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:57:40.617000,20.0,83.2,1009.7,False,25.9,299,1.2,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:58:40.467000,20.1,83.5,1009.7,False,26.0,319,0.6,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:59:40.484000,20.1,83.3,1009.8,False,26.1,0,1.0,2018,Australian Grand Prix,FP3,conventional,1
0 days 01:00:40.497000,20.2,83.1,1009.7,False,26.0,320,0.8,2018,Australian Grand Prix,FP3,conventional,1
0 days 01:01:40.512000,20.1,82.9,1009.7,False,26.0,321,1.2,2018,Australian Grand Prix,FP3,conventional,1
0 days 01:02:40.525000,20.2,82.6,1009.6,False,26.2,328,0.9,2018,Australian Grand Prix,FP3,conventional,1
0 days 01:03:40.538000,20.2,82.5,1009.8,False,26.2,0,0.7,2018,Australian Grand Prix,FP3,conventional,1
0 days 01:04:40.554000,20.4,82.2,1009.7,False,27.0,212,0.7,2018,Australian Grand Prix,FP3,conventional,1
0 days 01:05:40.565000,20.5,82.1,1009.6,False,27.5,257,0.5,2018,Australian Grand Prix,FP3,conventional,1
0 days 01:06:40.581000,20.7,81.2,1009.6,False,27.6,199,0.6,2018,Australian Grand Prix,FP3,conventional,1
0 days 01:07:40.603000,21.0,81.4,1009.6,False,28.3,334,1.0,2018,Australian Grand Prix,FP3,conventional,1
0 days 00:33:22.133000,28.9,27.7,1015.3,False,43.0,210,0.7,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:34:22.325000,29.1,26.8,1015.3,False,43.0,327,0.8,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:35:22.010000,29.3,26.7,1015.3,False,42.8,129,0.4,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:36:22.024000,29.3,26.1,1015.3,False,42.8,314,1.2,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:37:22.035000,29.9,25.8,1015.3,False,43.1,0,0.6,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:38:22.224000,29.9,25.8,1015.3,False,43.1,0,0.6,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:39:22.311000,30.0,25.5,1015.3,False,43.0,0,0.6,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:40:22.447000,30.2,24.9,1015.2,False,42.7,71,0.9,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:41:22.089000,30.1,24.7,1015.3,False,42.7,298,0.5,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:42:22.103000,30.1,24.9,1015.3,False,42.7,331,0.6,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:43:22.114000,29.9,25.2,1015.2,False,42.8,317,1.4,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:44:22.129000,29.9,25.2,1015.2,False,42.8,317,1.4,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:45:22.143000,29.7,25.3,1015.2,False,42.6,328,1.1,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:46:22.157000,29.5,25.5,1015.2,False,42.5,180,0.9,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:47:22.171000,29.5,25.5,1015.2,False,42.5,180,0.9,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:48:22.182000,29.5,26.0,1015.3,False,42.3,333,0.4,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:49:22.197000,29.8,25.2,1015.2,False,42.3,333,1.3,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:50:22.212000,29.3,26.0,1015.3,False,42.4,310,1.9,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:51:22.226000,29.3,25.1,1015.2,False,41.6,170,1.7,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:52:22.237000,29.3,25.1,1015.2,False,41.6,170,1.7,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:53:22.252000,29.2,26.0,1015.0,False,41.6,180,0.5,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:54:22.266000,29.6,25.4,1015.1,False,41.7,321,0.6,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:55:22.293000,29.6,25.6,1015.2,False,41.7,303,1.3,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:56:22.294000,29.6,25.9,1015.1,False,41.6,301,1.7,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:57:22.306000,29.6,25.9,1015.1,False,41.6,301,1.7,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:58:22.319000,29.2,25.9,1015.2,False,41.3,302,1.7,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:59:22.335000,29.1,25.9,1015.2,False,41.3,288,1.3,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:00:22.350000,29.1,26.2,1015.1,False,41.5,339,1.8,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:01:22.596000,29.1,26.7,1015.1,False,42.5,0,1.8,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:02:22.685000,29.2,26.9,1015.1,False,42.5,260,0.6,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:03:22.393000,29.4,26.4,1015.1,False,42.5,333,1.4,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:04:22.405000,29.4,26.4,1015.1,False,42.5,333,1.4,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:05:22.666000,29.3,26.3,1015.1,False,42.4,350,1.1,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:06:22.585000,29.2,26.4,1015.1,False,42.4,331,0.9,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:07:22.525000,29.2,26.6,1015.1,False,42.3,187,1.3,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:08:22.956000,29.4,25.9,1015.2,False,42.3,214,1.0,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:09:22.478000,29.7,25.3,1015.2,False,42.1,188,1.0,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:10:22.491000,29.7,25.3,1015.2,False,42.1,188,1.0,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:11:22.508000,29.9,24.8,1015.0,False,42.1,226,0.0,2018,Australian Grand Prix,FP2,conventional,1
