rmse,mae,positions_correct,position_changes_accuracy,num_drivers,race_id
3.6468851321433275,3.139588100686499,0.09725400457665904,0.41024014462553915,874,1123
7.2797251156279,6.204481792717087,0.04341736694677871,0.4303109661779484,714,1045
5.901092404484534,5.025301204819277,0.006024096385542169,0.04541344347142369,830,993
5.226853738148792,4.234285714285714,0.08897959183673469,-0.08570664639749499,1225,1130
8.929800080615959,7.9002890173410405,0.0072254335260115606,0.13362735469561274,692,1044
8.71741221329161,7.165225744476465,0.07204610951008646,0.2561053394035464,1041,1067
8.461630279790645,7.326016260162602,0.027642276422764227,0.23737996587723764,1230,1015
8.593191832724425,7.2395740905057675,0.02129547471162378,0.11117051461803297,1127,1016
7.592566023652966,6.306595365418895,0.024955436720142603,-0.20650567817679083,561,998
7.923778110345136,6.5206106870229,0.012213740458015267,0.23984611587118276,655,1034
5.976364654789817,4.713226205191595,0.07169344870210136,0.2570126610666183,809,1108
7.211665739874686,5.977436823104693,0.04151624548736462,-0.06113901359543698,1108,1000
6.690867803419367,5.715447154471545,0.006968641114982578,-0.054499175092770066,861,1062
5.64860476146945,5.122625215889465,0.046632124352331605,-0.21783267728558237,579,1001
6.301079654028232,4.974632843791722,0.06542056074766354,0.06092938650179101,749,1089
6.729360855286418,5.909090909090909,0.023966942148760332,0.39520194787939594,1210,1008
5.736941693969009,4.370833333333334,0.05277777777777778,0.19769040163547313,720,1077
8.313805784721325,7.372716199756395,0.0060901339829476245,0.05772866641912004,821,1073
5.966934144684118,4.689429373246024,0.13283442469597756,0.18662962963878538,1069,1096
7.5105523729326915,6.526717557251908,0.025763358778625955,0.30112331962098093,1048,1007
7.616574464466947,6.476056338028169,0.04507042253521127,-0.087943641664585,1065,1117
8.922908524128692,7.8454258675078865,0.012618296529968454,-0.051613013040437264,951,1059
7.193838259269079,5.984293193717278,0.0549738219895288,-0.07961935225658096,764,1111
6.059767257971153,4.8896103896103895,0.09220779220779221,0.15510426839560806,770,1093
8.161775746327102,7.0,0.012152777777777778,-0.02647613423774711,1152,1058
6.402262700881256,4.970055161544523,0.09062253743104808,-0.2492494980195623,1269,1131
8.014799365672847,6.916349809885932,0.012674271229404309,0.07279861257904728,789,1040
8.056521224857248,7.301369863013699,0.010273972602739725,0.16631949812309849,584,1057
6.784896014352042,5.319327731092437,0.057623049219687875,-0.12398189585833683,833,1115
